entry_bar,exit_bar,entry_time,exit_time,entry_price,exit_price,adx_at_entry,direction,pnl,reason,dir_str
9,22,2026-05-06 09:14:00,2026-05-06 09:27:00,17795.0,17870.0,89.02869195969382,1,744.0,TP,多
85,98,2026-05-06 10:44:00,2026-05-06 10:57:00,17915.0,17890.0,23.206290384623017,1,-256.0,SL,多
99,124,2026-05-06 10:58:00,2026-05-06 11:23:00,17890.0,17815.0,20.585429066569844,-1,744.0,TP,空
162,163,2026-05-06 14:01:00,2026-05-06 14:02:00,17820.0,17845.0,23.701308126752895,-1,-256.0,SL,空
164,166,2026-05-06 14:03:00,2026-05-06 14:05:00,17865.0,17840.0,26.220648886881545,1,-256.0,SL,多
170,191,2026-05-06 14:09:00,2026-05-06 14:30:00,17815.0,17740.0,26.27004974652047,-1,744.0,TP,空
215,216,2026-05-06 14:54:00,2026-05-06 14:55:00,17765.0,17775.0,26.766065463898585,-1,-106.0,DAY_END,空
225,233,2026-05-06 21:06:00,2026-05-06 21:14:00,17870.0,17945.0,25.001095749484694,1,744.0,TP,多
267,327,2026-05-06 21:48:00,2026-05-06 22:48:00,17885.0,17960.0,23.056886537471684,1,744.0,TP,多
327,339,2026-05-06 22:48:00,2026-05-06 23:00:00,17955.0,17950.0,24.669346136180945,1,-56.0,END,多
